2019-06-08,4088
2019-06-10,2768
2019-06-12,3522
2019-06-14,4075
2019-06-16,3896
2019-06-18,4679
2019-06-20,5318
2019-06-22,4985
2019-06-24,5802
2019-06-26,5611
2019-06-28,8716
2019-06-30,5342
2019-07-02,4433
2019-07-04,5220
2019-07-06,4736
2019-07-08,3921
2019-07-10,4731
2019-07-12,5613
2019-07-14,5896
2019-07-16,4755
2019-07-18,5416
2019-07-20,4605
2019-07-22,4123
2019-07-24,4682
2019-07-26,4682
2019-07-28,3602
2019-07-30,3621
2019-08-01,4292
2019-08-03,5248
2019-08-05,3710
2019-08-07,5051
2019-08-09,4772
2019-08-11,4392
2019-08-13,3824
2019-08-15,4696
2019-08-17,4261
2019-08-19,3451
2019-08-21,4173
2019-08-23,4187
2019-08-25,4779
2019-08-27,3325
2019-08-29,3848
2019-08-31,3313
2019-09-02,2511
2019-09-04,3758
2019-09-06,3536
2019-09-08,3693
2019-09-10,3146
2019-09-12,3862
2019-09-14,3567
2019-09-16,2800
2019-09-18,3628
2019-09-20,3575
2019-09-22,2777
2019-09-24,3057
2019-09-26,4058
2019-09-28,6693
2019-09-30,2965
2019-10-02,3247
2019-10-04,6051
2019-10-06,2878
2019-10-08,3270
2019-10-10,3114
2019-10-12,2903
2019-10-14,2522
2019-10-16,2930
2019-10-18,4037
2019-10-20,3028
2019-10-22,3155
2019-10-24,3899
2019-10-26,4417
2019-10-28,3543
2019-10-30,3548
2019-11-01,3437
2019-11-03,2645
2019-11-05,2982
2019-11-07,3478
2019-11-09,3409
2019-11-11,2536
2019-11-13,3327
2019-11-15,3134
2019-11-17,2799
2019-11-19,2896
2019-11-21,4756
2019-11-23,3606
2019-11-25,2657
2019-11-27,3565
2019-11-29,3074
2019-12-01,2921
2019-12-03,3491
2019-12-05,3331
2019-12-07,3023
2019-12-09,2500
2019-12-11,3680
2019-12-13,3225
2019-12-15,2648
2019-12-17,3210
2019-12-19,3443
2019-12-21,3141
2019-12-23,2297
2019-12-25,2504
2019-12-27,2743
2019-12-29,2443
2020-01-01,2984
2020-01-03,3613
2020-01-05,2985
2020-01-07,2863
2020-01-09,3476
2020-01-11,3086
2020-01-13,2775
2020-01-15,3379
2020-01-17,3417
2020-01-19,2930
2020-01-21,3509
2020-01-23,3527
2020-01-25,3350
2020-01-27,2860
2020-01-29,3166
2020-01-31,3481
2020-02-02,2894
2020-02-04,2939
2020-02-06,3398
2020-02-08,3504
2020-02-10,3519
2020-02-12,3423
2020-02-14,3893
2020-02-16,3568
2020-02-18,3958
2020-02-20,3773
2020-02-22,3502
2020-02-24,2996
2020-02-26,3524
2020-02-28,4022
2020-03-01,3274
2020-03-03,3034
2020-03-05,3200
2020-03-07,3179
2020-03-09,2688
2020-03-11,3851
2020-03-13,4995
2020-03-15,5236
2020-03-17,3978
2020-03-19,3479
2020-03-21,3601
2020-03-23,2981
2020-03-25,3235
2020-03-27,2914
2020-03-29,3143
2020-03-31,2971
2020-04-02,2803
2020-04-04,2958
2020-04-06,2932
2020-04-08,3262
2020-04-10,3277
2020-04-12,3437
2020-04-14,3234
2020-04-16,3510
2020-04-18,3805
2020-04-20,3363
2020-04-22,3193
2020-04-24,3669
2020-04-26,3625
2020-04-28,3817
2020-04-30,4313
2020-05-02,4505
2020-05-04,4041
2020-05-06,4100
2020-05-08,5424
2020-05-10,4984
2020-05-12,6087
2020-05-14,5076
2020-05-16,5258
2020-05-18,4866
2020-05-20,4998
2020-05-22,5106
2020-05-24,3985
2020-05-26,4455
2020-05-28,4373
2020-05-30,3932
2020-06-01,3834
2020-06-03,4146
2020-06-05,3860
2020-06-07,3215
2020-06-09,3994
2020-06-11,3924
2020-06-13,3773
2020-06-15,3055
2020-06-17,3770
2020-06-19,3217
2020-06-21,3328
2020-06-23,3234
2020-06-25,3810
2020-06-27,3387
2020-06-29,3017
2020-07-01,3319
2020-07-03,3711
2020-07-05,2892
2020-07-07,2910
2020-07-09,4288
2020-07-11,4046
2020-07-13,3012
2020-07-15,2926
2020-07-17,5718
2020-07-19,3603
2020-07-21,3460
2020-07-23,3880
2020-07-25,3413
2020-07-27,3065
2020-07-29,5035
2020-07-31,4337
2020-08-02,4249
2020-08-04,6212
2020-08-06,4653
2020-08-08,4343
2020-08-10,3909
2020-08-12,4019
2020-08-14,4293
2020-08-16,4513
2020-08-18,5029
2020-08-20,4212
2020-08-22,4354
2020-08-24,3918
2020-08-26,3913
2020-08-28,3869
2020-08-30,3285
2020-09-01,3617
2020-09-03,4336
2020-09-05,4069
2020-09-07,3040
2020-09-09,3733
2020-09-11,3378
2020-09-13,2842
2020-09-15,2794
2020-09-17,3506
2020-09-19,2706
2020-09-21,2756
2020-09-23,1466
2020-09-25,3202
2020-09-27,2368
2020-09-29,3251
2020-10-01,3232
2020-10-03,3100
2020-10-05,2654
2020-10-07,3057
2020-10-09,3281
2020-10-11,2999
2020-10-13,3451
2020-10-15,3396
2020-10-17,3532
2020-10-19,3024
2020-10-21,3002
2020-10-23,6291
2020-10-25,5037
2020-10-27,4828
2020-10-29,5595
2020-10-31,4576
2020-11-02,4187
2020-11-04,4120
2020-11-06,2062
2020-11-08,3106
2020-11-10,2884
2020-11-12,2351
2020-11-14,2979
2020-11-16,2304
2020-11-18,2905
2020-11-20,3437
2020-11-22,3528
2020-11-24,2871
2020-11-26,3258
2020-11-28,2798
2020-11-30,2413
2020-12-02,4224
2020-12-04,2283
2020-12-06,2650
2020-12-08,2787
2020-12-10,3634
2020-12-12,2592
2020-12-14,2932
2020-12-16,3134
2020-12-18,5971
2020-12-20,4412
2020-12-22,5094
2020-12-24,4276
2020-12-26,2822
2020-12-28,5143
2020-12-30,4985
2021-01-01,5312
2021-01-03,6170
2021-01-05,8834
2021-01-07,7219
2021-01-09,9077
2021-01-11,6941
2021-01-13,9296
2021-01-15,7372
2021-01-17,5694
2021-01-19,4424
2021-01-21,5099
2021-01-23,7772
2021-01-25,3386
2021-01-27,4465
2021-01-29,5544
2021-01-31,14765
2021-02-02,9810
2021-02-04,6109
2021-02-06,8177
2021-02-08,11280
2021-02-10,14384
2021-02-12,12856
2021-02-14,10270
2021-02-16,9855
2021-02-18,7147
2021-02-20,13826
2021-02-22,13285
2021-02-24,12927
2021-02-26,9664
2021-02-28,7181
2021-03-02,5861
2021-03-04,4542
2021-03-06,3886
2021-03-08,5802
2021-03-10,7710
2021-03-12,8228
2021-03-14,7335
2021-03-16,8250
2021-03-18,5335
2021-03-20,5372
2021-03-22,5497
2021-03-24,5410
2021-03-26,5433
2021-03-28,5016
2021-03-30,5486
2021-04-01,6090
2021-04-03,6169
2021-04-05,5676
2021-04-07,6317
2021-04-09,6964
